Country,gdp,gdp_normalized
Australia,"1,391.54",6.776463484
Austria,445.125,2.167651169
Belgium,533.157,2.596345733
Brazil,"1,877.11",9.141072029
Canada,"1,741.58",8.481073684
Chile,279.27,1.359977404
Chinese Taipei,612.168,2.981110208
Denmark,350.104,1.704921865
Finland,268.996,1.309945507
France,"2,717.20",13.23210729
Germany,"3,861.55",18.80481522
Greece,205.349,1
Ireland,398.379,1.940009447
Italy,"2,005.14",9.764547186
Japan,"5,148.78",25.07331421
Mexico,"1,268.87",6.179090232
Netherlands,907.151,4.417606124
Portugal,239.537,1.166487297
South Korea,"1,646.74",8.019225806
Spain,"1,393.64",6.786689977
Sweden,531.283,2.587219806
Switzerland,732.187,3.565573731
Turkey,760.94,3.705593891
United Kingdom,"2,833.30",13.79748623
United States,"21,433.23",104.37465
