country,country_code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Austria,AT,382.01,395.728,417.114,455.374,445.061,432.912,477.084,468.046,472.686,494.052,516.742,540.286,564.321
Australia,AU,1233.112,1263.833,1381.986,1416.818,1386.697,1357.639,1635.255,1724.787,1787.948,1837.686,1913.523,1994.128,2081.613
Belgium,BE,462.383,475.931,502.587,543.593,535.437,521.26,599.107,589.491,596.743,619.313,642.311,666.456,690.722
Brazil,BR,1800.045,1796.622,2063.519,1916.934,1873.286,1448.55,1608.08,1894.708,2059.443,2200.916,2319.46,2436.707,2568.056
Canada,CA,1556.508,1527.996,1649.266,1725.3,1742.015,1645.423,1988.336,2200.352,2326.62,2420.683,2531.243,2630.342,2728.384
Switzerland,CH,11113.508,11226.897,12265.327,13841.812,14340.6,14862.564,17744.64,18321.197,19243.974,20699.148,22404.019,24295.368,26437.719
Chile,CL,242.508,249.209,276.182,295.145,278.347,252.346,316.77,310.866,347.57,358.787,375.109,390.696,407.865
Germany,DE,3357.926,3468.896,3689.547,3976.246,3888.655,3886.555,4262.767,4031.149,4120.242,4337.385,4546.514,4740.723,4925
Denmark,DK,302.673,313.116,332.121,356.841,346.499,355.223,398.303,386.724,393.978,412.973,432.508,452.56,473.709
Spain,ES,1195.721,1232.573,1312.076,1421.639,1393.2,1280.459,1426.224,1389.927,1421.012,1508.902,1592.979,1668.502,1738.435
Finland,FI,234.558,240.705,255.558,275.833,268.545,271.61,297.575,281.411,283.507,292.464,303.574,315.645,328.216
France,FR,2439.436,2472.282,2594.235,2792.223,2729.171,2636.022,2957.425,2778.09,2806.69,2932.363,3057.215,3179.463,3299.722
United Kingdom,GB,2957.227,2732.956,2701.268,2904.513,2880.357,2758.87,3187.626,3198.47,3479.468,3757.403,3969.887,4217.743,4449.753
Greece,GR,195.703,193.095,199.773,212.146,205.166,188.684,216.384,222.008,226.347,235.285,244.784,254.615,262.825
Ireland,IE,291.805,299.009,336.259,385.911,399.366,425.511,504.517,519.776,549.088,594.177,630.818,670.652,712.041
Italy,IT,1836.824,1876.553,1961.104,2092.881,2011.507,1891.058,2101.275,1996.934,1991.008,2059.41,2133.08,2213.716,2289.808
Japan,JP,4444.931,5003.678,4930.837,5040.885,5120.31,5031.62,4932.556,4300.621,4365.976,4568.729,4811.64,5009.999,5172.103
Korea,KR,1466.039,1499.362,1623.074,1725.373,1651.423,1644.676,1810.966,1734.207,1792.467,1879.043,1961.83,2048.476,2137.201
Mexico,MX,1171.87,1078.493,1158.912,1222.406,1269.01,1089.827,1297.661,1424.533,1476.407,1527.077,1586.437,1650.396,1718.575
Netherlands,NL,765.65,783.844,833.575,914.458,910.295,909.065,1013.52,990.583,1019.762,1076.955,1125.462,1173.478,1223.357
Portugal,PT,199.414,206.369,221.28,242.423,240.013,228.356,250.055,255.854,261.173,275.887,290.5,304.73,319.41
Sweden,SE,505.104,515.655,541.019,555.455,533.88,547.054,635.664,603.922,653.962,693.15,732.622,769.87,808.674
Turkey,TR,864.071,869.28,858.932,779.694,759.45,720.11,817.508,853.487,941.551,1037.858,1133.981,1239.077,1354.314
Chinese Taipei,TW,534.515,543.081,590.733,609.198,611.396,669.25,774.728,828.659,858.972,901.616,948.513,996.821,1045.227
United States,US,18206.025,18695.1,19479.625,20527.15,21372.6,20893.75,22996.075,25035.164,26185.21,27057.202,28045.305,29165.531,30281.524
